Cast-off Reconstruction Inputs:,,,,,,,,,,,,,,,
,Room Length (cm) (X-dimension),Room Width (cm) (Y-dimension),Room Height (cm) (Z-dimension),,,,Distance to Room Corner X-dimension (cm),Distance to Room Corner Y-dimension (cm),Distance to Room Corner Z-dimension (cm),,,,,,
cast_2019_05-20,Red Pattern (Downward),GRS,221.6,31.2,0,D Floor,5.1,4.7,65,-87.5,365.4,109.4,41.8,242,
cast_2019_05-20,Green Pattern (Upward),GG05,219.5,31.9,0,D Floor,14,8.4,36.9,-86.5,362.6,0,42,165.1,
cast_2019_05-20,Red Pattern (Downward),GRR,219.1,26.8,0,D Floor,4,3.7,67,-85.8,9.9,117.7,44.6,242,
cast_2019_05-20,Red Pattern (Downward),GRT,202.9,29.9,0,D Floor,3.9,3.7,71.7,-89.6,361.2,123.1,31.6,242,
cast_2019_05-20,Green Pattern (Upward),GG04,186.5,33.3,0,D Floor,10.5,6.9,41.2,-84.4,364.9,0,49.2,163.8,
cast_2019_05-20,Green Pattern (Upward),GG03,166.1,35,0,D Floor,5.2,3.9,47.9,87.6,182.7,248,31.1,90.9,
cast_2019_05-20,Red Pattern (Downward),GRX,155.9,37.7,0,D Floor,4.1,3.8,69.3,-89.3,538.2,247.3,40.6,242,
cast_2019_05-20,Red Pattern (Downward),GRY,146.5,40.2,0,D Floor,3.8,3.7,74,-84.5,520.4,212,63.6,242,
cast_2019_05-20,Green Pattern (Upward),GG02,142.7,34.1,0,D Floor,5.5,4.2,50.1,81.2,550.6,248,14.3,128.1,
cast_2019_05-20,Red Pattern (Downward),GRZ,138,41.5,0,D Floor,5.2,4.5,61.1,73,213.7,200.2,0,135.7,
cast_2019_05-20,Green Pattern (Upward),GG01,136.7,34,0,D Floor,4.7,4.1,59.8,-89.6,179.4,248,35.2,191,
